"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-22","72","83","65","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-23","79","85","76","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-24","78","83","75","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-25","78","86","74","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-26","79","89","73",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-27","80","91","75",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-28","79","87","72",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-29","78","87","70",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-30","76","78","72","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-07-31","76","84","71","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-01","80","89","74","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-02","79","86","75","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-03","78","84","73","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-04","79","90","73","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-05","81","91","74",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-06","81","91","74",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-07","81","91","75",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-08","83","94","75","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-09","84","92","75",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-10","84","92","75",,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-11","83","91","76",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-12","79","87","74",,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-13","78","88","72","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-14","77","87","69",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-15","81","92","72",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-16","82","90","73",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-17","84","94","78",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-18","82","90","76",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-19","80","87","72",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-20","76","82","71",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-21","77","82","73","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-22","78","86","72",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-23","74","81","66",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-24","74","84","63",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-25","75","82","67",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-26","76","88","68",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-08-27","82","91","75",,,,,,,
